Node1,Sign,Node2,Weight
ALDH1A3,1,Enzyme3860__ALDH1A3,0.51
ALDH1A3,1,Enzyme963__ALDH1A3,0.51
ALDH9A1,1,Enzyme3860__ALDH9A1,0.49
ALDH9A1,1,Enzyme963__ALDH9A1,0.49
AR,1,DDC,1
AR,1,PRKCD,0.23
CAV1,-1,PPP2CA,0.27
CTCF,-1,ALDH1A3,0.51
DDC,1,Enzyme895__DDC,1
Enzyme125000002__SLC38A2,1,Metab__L-Proline_c,1
Enzyme166900002__SLC25A10,1,Metab__Butanedioic acid_c,0.06
Enzyme1671__SLC25A10_TRANSPORTER1,1,Metab__Butanedioic acid_m,0.1
Enzyme1671__SLC25A10_TRANSPORTER4_reverse,1,Metab__Butanedioic acid_c,0.05
Enzyme167200002__SLC25A10,1,Metab__Butanedioic acid_m,0.09
Enzyme168800002__SLC25A1,1,Metab__Butanedioic acid_c,0.04
Enzyme220600002__SLC25A1,1,Metab__Butanedioic acid_m,0.1
Enzyme220800003__SLC25A1,1,Metab__Butanedioic acid_c,0.03
Enzyme3860__ALDH1A3,1,Metab__L-Lactic acid_c,0.51
Enzyme3860__ALDH9A1,1,Metab__L-Lactic acid_c,0.49
Enzyme576000002__SLC38A2,1,Metab__L-Cysteine_c,1
Enzyme617500001__SLC25A1,1,Metab__Butanedioic acid_m,0.08
Enzyme618100003__SLC25A1,1,Metab__Butanedioic acid_c,0.07
Enzyme618600002__SLC25A1,1,Metab__Butanedioic acid_c,0.04
Enzyme8423__P4HA1,1,Metab__Butanedioic acid_c,0.33
Enzyme8423__P4HA2,1,Metab__Butanedioic acid_c,0.32
Enzyme8424__P4HA1,1,Metab__Butanedioic acid_m,0.38
Enzyme895__DDC,1,Metab__Histamine_c,1
Enzyme918200002__SLC16A1,1,Metab__L-Lactic acid_m,0.5
Enzyme955900002__SLC25A10,1,Metab__Butanedioic acid_m,0.13
Enzyme963__ALDH1A3,1,Metab__D-Lactic acid_c,0.51
Enzyme963__ALDH9A1,1,Metab__D-Lactic acid_c,0.49
Enzyme981__AQP9,1,Metab__L-Lactic acid_m,0.5
Enzyme9813__SLC25A10_TRANSPORTER1,1,Metab__Butanedioic acid_m,0.12
Enzyme9813__SLC25A10_TRANSPORTER4_reverse,1,Metab__Butanedioic acid_c,0.06
JUN,-1,MYC,0.08
JUN,-1,TP53,0.09
MAPK3,-1,HNRNPK,0.41
MAPK3,1,MYC,0.41
MAPK3,1,TP53,0.41
Metab__L-Proline_c,1,Enzyme8423__P4HA1,0.33
Metab__L-Proline_c,1,Enzyme8423__P4HA2,0.32
Metab__L-Lactic acid_c,1,Enzyme918200002__SLC16A1,0.5
Metab__L-Lactic acid_c,1,Enzyme981__AQP9,0.5
Metab__Butanedioic acid_c,1,Enzyme1671__SLC25A10_TRANSPORTER1,0.1
Metab__Butanedioic acid_c,1,Enzyme167200002__SLC25A10,0.09
Metab__Butanedioic acid_c,1,Enzyme220600002__SLC25A1,0.1
Metab__Butanedioic acid_c,1,Enzyme617500001__SLC25A1,0.08
Metab__Butanedioic acid_c,1,Enzyme955900002__SLC25A10,0.13
Metab__Butanedioic acid_c,1,Enzyme9813__SLC25A10_TRANSPORTER1,0.12
Metab__Butanedioic acid_m,1,Enzyme166900002__SLC25A10,0.06
Metab__Butanedioic acid_m,1,Enzyme1671__SLC25A10_TRANSPORTER4_reverse,0.05
Metab__Butanedioic acid_m,1,Enzyme168800002__SLC25A1,0.04
Metab__Butanedioic acid_m,1,Enzyme220800003__SLC25A1,0.03
Metab__Butanedioic acid_m,1,Enzyme618100003__SLC25A1,0.07
Metab__Butanedioic acid_m,1,Enzyme618600002__SLC25A1,0.04
Metab__Butanedioic acid_m,1,Enzyme9813__SLC25A10_TRANSPORTER4_reverse,0.06
Metab__Histamine_c,1,MAPK3,0.41
MYC,-1,ALDH9A1,0.49
NFKB1,-1,AR,0.59
NFKB1,-1,CTCF,0.51
NFKB1,1,JUN,0.09
P4HA1,1,Enzyme8423__P4HA1,0.33
P4HA1,1,Enzyme8424__P4HA1,0.38
PARP1,1,NFKB1,0.59
PARP1,1,PIAS4,0.41
PIAS4,-1,AR,0.41
PPP2CA,-1,TP53,0.27
PRKCD,-1,HNRNPK,0.23
PRKCD,-1,PRKDC,0.23
PRKCD,1,TP53,0.23
SLC38A2,1,Enzyme125000002__SLC38A2,1
SLC38A2,1,Enzyme576000002__SLC38A2,1
TP53,-1,SLC38A2,1
TP53,1,CAV1,1
ABL1,1,CAT,0.2
ABL1,1,CAV1,0.2
ABL1,1,PRKD1,0.4
ABL1,1,STAT1,0.2
ABL1,1,TOP1,0.4
ABL2,1,CAT,0.8
CALM1,1,PPP3R1,0.2
CALM1,1,RASGRF1,0.8
CAMK4,1,HNRNPL,1
CAPN2,-1,TLN1,1
CAPN2,-1,TNS1,1
CAPN2,1,GSK3B,1
CASP2,-1,GOLGA3,1
CASP2,1,CASP7,0.6
CASP3,-1,PPP2R5C,0.8
CASP3,-1,PSIP1,1
CASP3,-1,SPTAN1,1
CASP3,1,CAD,1
CASP3,1,PRKDC,1
CASP3,1,SRP72,1
CASP3,1,TOP1,1
CASP7,-1,PARP1,0.6
CD36,1,Enzyme4039__CD36,1
CDK1,1,ABL1,0.4
CDK1,1,CSNK2A1,1
CDK1,1,EEF1D,1
CDK1,1,NUP210,1
CDK1,1,OSBP2,1
CDK1,1,RCC1,1
CDK1,1,RUNX1,0.4
CDK2,-1,LIG3,1
CDK2,-1,RUNX1,0.4
CDK4,-1,MEF2D,1
CDK4,1,EIF4A3,1
CDK4,1,HNRNPK,1
CDK4,1,SF3B1,1
CHKA,-1,PLIN3,1
COL2A1,1,ITGA1,1
CSNK1A1L,1,GLI2,0.2
CSNK2A1,-1,CALM1,0.8
CSNK2A1,-1,CASP2,1
CSNK2A1,-1,SPTBN1,1
CSNK2A1,1,HNRNPK,1
CSNK2A1,1,LEF1,0.4
CSNK2A1,1,PACS1,1
CSNK2A1,1,PIAS1,1
CSNK2A1,1,RBM17,1
CSNK2A1,1,TCF7L2,0.8
CSNK2A1,1,TCOF1,1
CSNK2A1,1,YY1,0.2
CTSG,-1,SERPIND1,0.2
DAPK1,-1,TLN1,0.6
DAPK1,1,PRKD1,0.6
DRD1,1,GNAQ,0.8
EEF1D,1,EEF1G,1
EIF2AK4,-1,EIF2A,1
ELANE,-1,SERPIND1,0.8
EP300,1,HIF1A,0.4
EP300,1,MYB,0.2
EP300,1,PARP1,0.4
Enzyme4039__CD36,1,Metab__Calcitriol_c,1
GLI2,-1,LUM,1
GNA13,1,RDX,1
GSK3B,1,H1_5,1
GSK3B,1,OSBP2,1
HIF1A,1,ALDOA,1
HNF4A,1,ALDOB,1
HNF4A,1,MYC,1
HNRNPA1,1,TRA2B,1
HRH2,1,GNAQ,0.2
IRAK1,1,GLIPR2,1
LEF1,1,ELANE,0.4
LEF1,1,MMP7,0.4
LEF1,1,MYC,0.4
MAPK3,-1,ARRB1,1
MAPK3,-1,MITF,0.6
MAPK3,-1,PPP2R5C,0.8
MAPK3,1,BAZ1B,1
MAPK3,1,CAD,1
MAPK3,1,CAPN2,1
MAPK3,1,DAPK1,0.6
MAPK3,1,EP300,0.4
MAPK3,1,HIF1A,1
MAPK3,1,MYC,1
MAPK3,1,RPS6KA5,1
MAPK8,-1,AIMP1,1
MAPK8,1,MAPK8IP1,0.2
MAPK8,1,MITF,0.6
MAPK8,1,PKMYT1,1
MAPK8,1,SRC,1
MAPK8,1,STAT1,1
MAPK8IP1,1,RASGRF1,0.2
MEF2D,1,DES,1
MEF2D,1,MYH10,1
Metab__Linoleic acid_c,1,CD36,1
Metab__Histamine_c,1,HRH2,0.2
"Metab__1,4-Butanediamine, N,N'-bis(3-aminopropyl)-_c",1,MAPK8,1
Metab__Calcitriol_c,-1,CASP3,1
Metab__Calcitriol_c,1,MZF1,1
MITF,1,CDK2,0.6
MMP7,-1,DCN,1
MYB,1,CTSG,0.2
MYB,1,MYC,0.2
MYC,1,CAD,1
MYC,1,CDK4,1
MYC,1,DDX18,1
MYC,1,HNRNPA1,1
MYC,1,HSPD1,1
MYC,1,NOP56,1
MYC,1,RCC1,1
MYC,1,RPL10,1
MYC,1,RPL23,1
MYC,1,SHMT2,1
MYD88,1,IRAK1,0.8
MZF1,1,PRKCA,1
PARP1,1,HIF1A,1
PEA15,1,MAPK3,1
PIAS1,-1,FHL1,1
PKMYT1,-1,CDK1,1
PPP2R5C,-1,CAMK4,0.8
PPP3R1,-1,CAMK4,0.2
PRKAA1,-1,GFPT1,0.4
PRKAA1,-1,HNF4A,0.4
PRKAA1,1,CDK2,0.4
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,HNF4A,1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1,CHKA,1
PRKACA,-1,DRD1,0.8
PRKACA,-1,GNA13,1
PRKACA,-1,PRKAA1,0.4
PRKACA,-1,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1
PRKACA,-1,SPTBN1,1
PRKACA,1,CSNK1A1L,0.2
PRKACA,1,HNRNPK,1
PRKACA,1,STK11,1
PRKACA,1,TTF2,1
PRKCA,-1,GFPT1,1
PRKCA,-1,GSK3B,1
PRKCA,-1,HNRNPA1,1
PRKCA,-1,PEA15,1
PRKCA,1,ABL1,0.2
PRKCA,1,CSPG4,1
PRKCA,1,TLN1,1
PRKD1,1,ARFIP1,1
PRKDC,-1,EIF2AK4,1
PRKDC,1,ABL1,0.4
PRKDC,1,USF1,1
PSIP1,1,ADH4,1
RASGRF1,1,RRAS2,1
RCC1,1,NUP98,1
RPS6KA5,1,MYC,1
RPS6KA5,1,PRKACA,1
RUNX1,1,ELANE,0.4
RUVBL1,1,DKC1,1
SRC,-1,DAPK1,0.6
SRC,-1,HNF4A,1
SRC,-1,HNRNPK,1
SRC,1,ABL1,0.2
SRC,1,ABL2,0.8
SRC,1,CAV1,1
SRC,1,CDH5,1
SRC,1,FERMT2,1
SRC,1,SPTAN1,1
SRC,1,STAT1,1
STAT1,-1,HIF1A,1
STAT1,-1,MYC,1
STAT1,-1,RPS24,1
STAT1,1,MYD88,0.8
STK11,1,GSK3B,1
STK11,1,HDLBP,1
TCF7L2,1,GLI2,0.8
TCF7L2,1,LEF1,0.2
TCF7L2,1,MMP7,0.8
TCF7L2,1,MYC,0.8
TGFB1,-1,COL2A1,1
TGFB1,1,TGFBR2,1
TGFBR2,1,RUVBL1,1
TTF2,1,CDC5L,1
USF1,1,P4HA1,1
USF1,1,SERBP1,1
USF1,1,TGFB1,1
YY1,-1,IRAK1,0.2
YY1,1,MYC,0.2
